country,allocKey,iso3,admin1,admin2,year,value
Ethiopia,9192617,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9192618,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9192619,ETH,Amhara,North Gonder,2005,23.1
Ethiopia,9192620,ETH,Amhara,North Gonder,2005,24.1
Ethiopia,9192621,ETH,Amhara,North Gonder,2005,23.9
Ethiopia,9192622,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9202598,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9202599,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9202608,ETH,Amhara,North Gonder,2005,29.1
Ethiopia,9202611,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9202616,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9202617,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9202618,ETH,Amhara,North Gonder,2005,24.0
Ethiopia,9202621,ETH,Amhara,North Gonder,2005,29.3
Ethiopia,9202622,ETH,Amhara,North Gonder,2005,39.7
Ethiopia,9212609,ETH,Amhara,North Gonder,2005,6.7
Ethiopia,9212610,ETH,Amhara,North Gonder,2005,7.0
Ethiopia,9212611,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9212612,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9212614,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9212615,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9212616,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9212617,ETH,Amhara,North Gonder,2005,48.8
Ethiopia,9222609,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9222610,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9222611,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9222613,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9222614,ETH,Amhara,North Gonder,2005,44.3
Ethiopia,9222615,ETH,Amhara,North Gonder,2005,46.4
Ethiopia,9222616,ETH,Amhara,North Gonder,2005,37.6
Ethiopia,9222617,ETH,Amhara,North Gonder,2005,688.9
Ethiopia,9222618,ETH,Amhara,North Gonder,2005,47.4
Ethiopia,9222620,ETH,Amhara,North Gonder,2005,40.5
Ethiopia,9222622,ETH,Amhara,North Gonder,2005,44.8
Ethiopia,9222623,ETH,Amhara,North Gonder,2005,30.4
Ethiopia,9232608,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9232609,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9232612,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9232613,ETH,Amhara,North Gonder,2005,49.0
Ethiopia,9232614,ETH,Amhara,North Gonder,2005,49.2
Ethiopia,9232615,ETH,Amhara,North Gonder,2005,59.3
Ethiopia,9232616,ETH,Amhara,North Gonder,2005,45.4
Ethiopia,9232617,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9232618,ETH,Amhara,North Gonder,2005,52.0
Ethiopia,9232619,ETH,Amhara,North Gonder,2005,47.3
Ethiopia,9232620,ETH,Amhara,North Gonder,2005,44.0
Ethiopia,9232621,ETH,Amhara,North Gonder,2005,45.2
Ethiopia,9232622,ETH,Amhara,North Gonder,2005,46.1
Ethiopia,9242610,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9242612,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9242613,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9242614,ETH,Amhara,North Gonder,2005,3513.0
Ethiopia,9242615,ETH,Amhara,North Gonder,2005,67.0
Ethiopia,9242616,ETH,Amhara,North Gonder,2005,45.7
Ethiopia,9242617,ETH,Amhara,North Gonder,2005,49.9
Ethiopia,9242618,ETH,Amhara,North Gonder,2005,57.5
Ethiopia,9242619,ETH,Amhara,North Gonder,2005,50.4
Ethiopia,9242620,ETH,Amhara,North Gonder,2005,44.5
Ethiopia,9242621,ETH,Amhara,North Gonder,2005,29.6
Ethiopia,9252611,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9252612,ETH,Amhara,North Gonder,2005,53.9
Ethiopia,9252613,ETH,Amhara,North Gonder,2005,66.9
Ethiopia,9252614,ETH,Amhara,North Gonder,2005,50.6
Ethiopia,9252615,ETH,Amhara,North Gonder,2005,53.0
Ethiopia,9252616,ETH,Amhara,North Gonder,2005,48.7
Ethiopia,9252618,ETH,Amhara,North Gonder,2005,49.6
Ethiopia,9252619,ETH,Amhara,North Gonder,2005,45.0
Ethiopia,9252620,ETH,Amhara,North Gonder,2005,50.1
Ethiopia,9262595,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9262596,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9262601,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9262602,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9262609,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9262610,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9262611,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9262612,ETH,Amhara,North Gonder,2005,61.0
Ethiopia,9262613,ETH,Amhara,North Gonder,2005,81.3
Ethiopia,9262614,ETH,Amhara,North Gonder,2005,69.6
Ethiopia,9262615,ETH,Amhara,North Gonder,2005,60.9
Ethiopia,9262616,ETH,Amhara,North Gonder,2005,873.8
Ethiopia,9262617,ETH,Amhara,North Gonder,2005,46.9
Ethiopia,9262618,ETH,Amhara,North Gonder,2005,45.5
Ethiopia,9262619,ETH,Amhara,North Gonder,2005,45.2
Ethiopia,9262620,ETH,Amhara,North Gonder,2005,45.9
Ethiopia,9272595,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9272596,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9272597,ETH,Amhara,North Gonder,2005,0.0
