country,allocKey,iso3,admin1,admin2,year,value,rowCol,row,col,x,y,percentage
Ethiopia,9492604,ETH,Amhara,Awi,2014,35.575846526048885,2604 - 949,2604,949,36.9583333325,10.9583333329,2.1381707145827216E-5
Ethiopia,9492605,ETH,Amhara,Awi,2014,38.47742266115216,2605 - 949,2605,949,37.0416666658,10.9583333329,2.312560524637341E-5
Ethiopia,9502597,ETH,Amhara,Awi,2014,1.1353993572143262,2597 - 950,2597,950,36.3749999991,10.8749999996,6.823949089093793E-7
Ethiopia,9502598,ETH,Amhara,Awi,2014,1.3877103254841765,2598 - 950,2598,950,36.4583333325,10.8749999996,8.340382220003525E-7
Ethiopia,9502599,ETH,Amhara,Awi,2014,11.732460024548038,2599 - 950,2599,950,36.5416666658,10.8749999996,7.051414058730253E-6
Ethiopia,9502600,ETH,Amhara,Awi,2014,11.858615508682963,2600 - 950,2600,950,36.6249999991,10.8749999996,7.127235715275739E-6
Ethiopia,9502601,ETH,Amhara,Awi,2014,24.600319406310398,2601 - 950,2601,950,36.7083333325,10.8749999996,1.4785223026369884E-5
Ethiopia,9502602,ETH,Amhara,Awi,2014,28.76345038276293,2602 - 950,2602,950,36.7916666658,10.8749999996,1.7287337692370942E-5
Ethiopia,9502603,ETH,Amhara,Awi,2014,31.412715549596356,2603 - 950,2603,950,36.8749999991,10.8749999996,1.887959247982616E-5
Ethiopia,9502604,ETH,Amhara,Awi,2014,33.93582523229485,2604 - 950,2604,950,36.9583333325,10.8749999996,2.039602561073589E-5
Ethiopia,9502605,ETH,Amhara,Awi,2014,1743.973412681205,2605 - 950,2605,950,37.0416666658,10.8749999996,0.0010481585800848066
Ethiopia,9512597,ETH,Amhara,Awi,2014,0.0,2597 - 951,2597,951,36.3749999991,10.7916666663,0.0
Ethiopia,9512598,ETH,Amhara,Awi,2014,1.5138658096191016,2598 - 951,2598,951,36.4583333325,10.7916666663,9.09859878545839E-7
Ethiopia,9512599,ETH,Amhara,Awi,2014,4.66775291299223,2599 - 951,2599,951,36.5416666658,10.7916666663,2.805401292183004E-6
Ethiopia,9512600,ETH,Amhara,Awi,2014,13.120170350032213,2600 - 951,2600,951,36.6249999991,10.7916666663,7.885452280730605E-6
Ethiopia,9512601,ETH,Amhara,Awi,2014,1698.9359048450367,2601 - 951,2601,951,36.7083333325,10.7916666663,0.0010210902486980679
Ethiopia,9512602,ETH,Amhara,Awi,2014,28.006517477953377,2602 - 951,2602,951,36.7916666658,10.7916666663,1.683240775309802E-5
Ethiopia,9512603,ETH,Amhara,Awi,2014,31.412715549596356,2603 - 951,2603,951,36.8749999991,10.7916666663,1.887959247982616E-5
Ethiopia,9512604,ETH,Amhara,Awi,2014,29.39422780343756,2604 - 951,2604,951,36.9583333325,10.7916666663,1.7666445975098376E-5
Ethiopia,9512605,ETH,Amhara,Awi,2014,37.46817878807276,2605 - 951,2605,951,37.0416666658,10.7916666663,2.2519031994009515E-5
Ethiopia,9522597,ETH,Amhara,Awi,2014,461.35060548142116,2597 - 952,2597,952,36.3749999991,10.7083333329,2.772797979868444E-4
